model output time z halo
P0noBHs 3200 10.79 0.25 1
P0noBHs 3195 10.77 0.25 1
P0noBHs 3072 10.35 0.29 1
P0noBHs 2944 9.92 0.34 1
P0noBHs 2816 9.49 0.39 1
P0noBHs 2688 9.06 0.44 1
P0noBHs 2560 8.63 0.50 1
P0noBHs 2554 8.61 0.50 1
P0noBHs 2432 8.20 0.56 1
P0noBHs 2304 7.77 0.62 1
P0noBHs 2176 7.34 0.70 1
P0noBHs 2048 6.91 0.77 1
P0noBHs 1920 6.48 0.86 1
P0noBHs 1792 6.05 0.96 1
P0noBHs 1739 5.87 1.00 1
P0noBHs 1664 5.62 1.06 1
P0noBHs 1536 5.19 1.18 1
P0noBHs 1408 4.76 1.32 1
P0noBHs 1280 4.32 1.48 1
P0noBHs 1152 3.89 1.67 1
P0noBHs 1024 3.46 1.90 1
P0noBHs 972 3.29 2.00 1
P0noBHs 896 3.03 2.17 1
P0noBHs 768 2.60 2.52 2
P0noBHs 640 2.17 2.98 2
P0noBHs 635 2.15 3.00 2
P0noBHs 512 1.74 3.61 2
P0noBHs 454 1.55 4.00 2
P0noBHs 384 1.31 4.58 2
P0noBHs 345 1.18 4.99 1
P0noBHs 273 0.94 5.99 1
P0noBHs 256 0.88 6.29 1
P0noBHs 223 0.77 6.98 1
P0noBHs 186 0.64 7.98 1
GM1 3776 12.72 0.08 1
GM1 3712 12.51 0.10 1
GM1 3648 12.29 0.11 1
GM1 3584 12.08 0.13 1
GM1 3520 11.86 0.15 1
GM1 3456 11.65 0.17 1
GM1 3392 11.43 0.19 1
GM1 3328 11.22 0.21 1
GM1 3264 11.00 0.23 1
GM1 3200 10.79 0.25 1
GM1 3136 10.57 0.27 1
GM1 3008 10.14 0.31 1
GM1 2944 9.92 0.34 1
GM1 2880 9.71 0.36 1
GM1 2816 9.49 0.39 1
GM1 2752 9.28 0.41 1
GM1 2688 9.06 0.44 1
GM1 2624 8.85 0.47 1
GM1 2560 8.63 0.50 1
GM1 2554 8.61 0.50 1
GM1 2496 8.42 0.53 1
GM1 2432 8.20 0.56 1
GM1 2368 7.99 0.59 1
GM1 2304 7.77 0.62 1
GM1 2240 7.56 0.66 1
GM1 2176 7.34 0.70 1
GM1 2112 7.12 0.73 1
GM1 2048 6.91 0.77 1
GM1 1984 6.69 0.82 1
GM1 1920 6.48 0.86 1
GM1 1856 6.26 0.91 1
GM1 1792 6.05 0.96 1
GM1 1739 5.87 1.00 1
GM1 1728 5.83 1.01 1
GM1 1664 5.62 1.06 1
GM1 1600 5.40 1.12 1
GM1 1536 5.19 1.18 1
GM1 1472 4.97 1.25 1
GM1 1408 4.76 1.32 1
GM1 1344 4.54 1.40 1
GM1 1280 4.32 1.48 1
GM1 1216 4.11 1.57 1
GM1 1152 3.89 1.67 1
GM1 1088 3.68 1.78 1
GM1 1024 3.46 1.90 1
GM1 972 3.29 2.00 2
GM1 960 3.25 2.03 2
GM1 896 3.03 2.17 2
GM1 832 2.82 2.33 2
GM1 704 2.39 2.73 1
GM1 640 2.17 2.98 1
GM1 576 1.96 3.27 1
GM1 512 1.74 3.61 1
GM1 454 1.55 4.00 1
GM1 448 1.52 4.04 1
GM1 384 1.31 4.58 1
GM1 320 1.09 5.30 2
GM1 273 0.94 5.99 2
GM1 256 0.88 6.29 2
GM1 192 0.66 7.80 2
GM1 186 0.64 7.98 2
