model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 94 22 4435615.80 -12.81 8.15 -9.71 3.04 1.42 18.02 17626.80 59645910.98 0.0014187341 26.91 290759420043091534413824.00
P0 1.00 95 3 686116.86 -16.11 32.20 -9.44 0.34 0.25 37.22 22721.93 20992868.51 0.0000044028 10.83 827676113713425364811776.00
P0 1.00 96 27 5377988.35 -13.35 3.75 -8.00 0.76 0.44 16.01 11407.24 267251807.81 0.0865192829 36.08 34501494990387204325376.00
P0 1.00 97 4 658600.48 -18.33 39.89 -11.74 0.76 0.58 45.44 28619.01 19926626.98 0.0000017156 11.74 1244752607018949497847808.00
P0 1.00 98 4 563137.85 -14.29 23.59 -11.66 0.44 0.26 29.94 26965.22 21418667.66 0.0000025079 12.12 1063443944267211115331584.00
P0 1.00 99 2 308246.50 -14.00 15.93 -9.96 0.17 0.17 23.43 26698.92 25268240.76 0.0000039159 8.46 943740938501076054704128.00
P0 1.00 100 6 1275245.52 -11.48 10.45 -10.58 0.90 0.65 18.78 21287.23 49186763.62 0.0001387783 17.63 417303877366763665489920.00
P0 1.00 101 6 1220369.52 -16.52 20.98 -7.68 1.28 0.59 27.78 17411.90 27644681.09 0.0000377471 8.52 441009226703335130660864.00
P0 1.00 102 2 424239.95 -15.78 33.32 -8.68 0.09 0.09 37.88 25943.25 21312324.10 0.0000026552 2.80 1027297582635744109789184.00
P0 1.00 103 2 425464.42 -16.28 25.19 -5.00 0.45 0.44 30.40 40746.21 45657327.63 0.0000048949 16.41 1299409594200579381395456.00
P0 1.00 104 5 1041642.52 -14.45 20.22 -9.54 0.76 0.43 26.63 16264.31 30209654.90 0.0000706676 11.92 368829132562221701791744.00
P0 1.00 105 4 736256.72 -30.69 13.81 -45.33 0.42 0.30 56.46 22920.17 14281991.21 0.0000016679 2.23 1067425066389741622001664.00
P0 1.00 106 2 418424.91 -35.95 14.30 -43.68 0.17 0.16 58.35 31822.65 13884750.12 0.0000004758 4.14 1894843048453996040683520.00
P0 1.00 107 3 637254.84 -34.54 15.57 -37.10 0.65 0.49 53.02 28879.34 15938903.69 0.0000008988 7.30 1476074596161120270024704.00
P0 1.00 108 3 536578.32 -34.52 14.18 -38.28 0.48 0.39 53.46 34944.08 19607609.04 0.0000006604 18.10 1758733257490633385312256.00
P0 1.00 109 3 636266.37 -30.28 15.80 -27.70 0.67 0.47 43.97 27294.32 20501826.98 0.0000019546 18.00 1147524325564598422863872.00
P0 1.00 110 2 380680.56 -27.85 5.02 -33.38 0.52 0.46 43.76 28060.55 16419176.98 0.0000010822 3.64 1379426017323577644154880.00
P0 1.00 111 7 1362075.92 -39.09 5.29 -20.51 0.94 0.39 44.46 20091.33 19416525.60 0.0000060151 10.20 705381255255242789879808.00
P0 1.00 112 4 794865.86 -33.31 7.60 -25.51 0.66 0.46 42.63 23372.55 16699785.57 0.0000023022 6.58 1002772878881301777612800.00
P0 1.00 113 14 2918046.77 -24.63 -11.67 -0.60 2.14 1.25 27.26 16882.46 58896461.05 0.0007376920 53.99 258846263622498741387264.00
P0 1.00 114 2 424199.40 -24.90 -12.93 -0.92 0.19 0.19 28.07 15764.40 37085508.61 0.0001245575 10.98 303556258738744766496768.00
P0 1.00 115 6 1275055.57 -27.05 -19.31 -0.69 0.81 0.57 33.25 15136.88 35519605.44 0.0001387941 35.18 293653039011423783485440.00
P0 1.00 116 7 1488314.14 -19.81 -18.83 0.01 0.97 0.61 27.33 27695.44 59367792.68 0.0000849919 16.83 579672330760146426789888.00
P0 1.00 117 12 2553414.61 -20.78 -2.98 1.14 0.80 0.49 21.02 12793.61 66789181.87 0.0028766004 25.00 136331421208200792244224.00
P0 1.00 118 11 2351752.85 -30.01 -11.28 0.74 1.26 0.87 32.06 17404.27 61443308.09 0.0007033316 59.27 258293601846818590687232.00
P0 1.00 119 3 636355.94 -28.57 -6.57 0.80 0.38 0.33 29.32 18819.91 34650955.83 0.0000518636 12.92 429719336199393646739456.00
P0 1.00 120 17 3153068.54 -14.84 -6.41 -0.12 1.96 0.99 16.16 12781.07 90125703.54 0.0073844925 61.51 105146681484137828712448.00
P0 1.00 121 3 638230.21 -21.53 -8.58 -0.77 0.41 0.29 23.19 24195.00 41474645.63 0.0000240963 14.41 580406049922788402135040.00
P0 1.00 122 4 755614.27 -19.30 -10.59 0.08 0.67 0.37 22.01 29093.56 56581803.79 0.0000376611 16.22 639691141640711584088064.00
P0 1.00 123 10 2076797.92 -24.93 -8.74 -1.22 0.50 0.32 26.45 11694.77 53472448.82 0.0016174333 13.49 138283181909771311644672.00
P0 1.00 124 2 386241.89 -40.74 -12.23 14.36 0.15 0.14 44.89 63652.70 94683368.92 0.0000002860 3.72 1678758081240976091774976.00
