model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3 1.00 111 6 1224942.91 -14.43 13.60 14.83 0.34 0.21 24.76 15844.40 11654312.07 0.0000555534 4.90 655578125160637278453760.00
GM3 1.00 112 2 479625.51 7.21 13.87 14.09 0.06 0.05 21.04 69941.97 40177161.57 0.0000000766 1.46 3488075112620557189775360.00
GM3 1.00 113 20 4048663.27 -5.48 7.20 13.80 1.21 0.55 16.50 10431.99 39565961.40 0.0092315913 15.85 122009694536929919369216.00
GM3 1.00 114 5 1090985.77 -0.97 7.40 14.05 0.21 0.18 15.90 14395.14 17054524.34 0.0002361798 4.71 425384408803678072340480.00
GM3 1.00 115 2 428153.82 33.58 9.01 25.37 0.13 0.13 43.04 17816.10 8178967.96 0.0000156692 3.70 1020828752244197008867328.00
GM3 1.00 116 10 1975625.25 33.70 2.78 26.94 1.13 0.79 43.23 15494.97 11083470.77 0.0000539783 12.15 656475990499358664556544.00
GM3 1.00 117 21 4470934.92 17.61 2.17 24.87 2.00 1.33 30.55 12614.09 19663280.02 0.0008290200 38.27 309567000914691037855744.00
GM3 1.00 118 2 425502.61 23.05 4.12 23.18 0.43 0.43 32.95 19422.60 7721264.53 0.0000103140 9.66 1227577607499114057039872.00
GM3 1.00 119 11 2351925.06 8.39 13.23 23.76 0.83 0.28 28.46 13060.19 17805645.23 0.0004216170 7.26 348097588110902324887552.00
GM3 1.00 120 24 5016711.07 -10.57 6.62 19.54 1.11 0.46 23.18 10055.71 48030210.85 0.0131168301 14.43 91580029309666321235968.00
GM3 1.00 121 2 426303.54 -21.53 10.77 26.49 0.14 0.14 35.80 20658.44 6789321.53 0.0000063034 3.30 1481450998988240714727424.00
GM3 1.00 122 6 1307722.35 -9.51 11.37 12.07 0.17 0.11 19.11 13712.00 15575550.99 0.0002195252 3.21 416638611480807747878912.00
GM3 1.00 123 19 4085527.76 10.70 -6.35 41.68 2.60 1.15 43.50 12548.24 17205957.53 0.0006066365 21.55 350177302991321316720640.00
GM3 1.00 124 4 883530.86 2.96 -9.80 33.14 0.42 0.34 34.69 19623.61 9376322.16 0.0000150912 8.28 1092201680743871033638912.00
GM3 1.00 125 8 1733661.90 11.37 -3.74 50.97 1.51 0.90 52.35 12539.84 15133953.50 0.0003438103 18.03 372960475232031920357376.00
GM3 1.00 126 12 2543371.98 11.45 -5.92 52.98 1.81 0.92 54.52 11421.33 17374773.56 0.0008307747 12.17 288195842519552327942144.00
GM3 1.00 127 9 1878990.66 12.66 -4.63 53.61 1.40 0.65 55.27 10976.51 19482642.44 0.0012374552 10.78 244458954679741604429824.00
GM3 1.00 128 3 665018.26 6.68 -8.07 55.02 0.49 0.33 56.00 14640.49 10119113.87 0.0000540908 8.40 637798374615868785033216.00
GM3 1.00 129 4 797845.41 5.87 -9.26 54.13 0.93 0.62 55.23 13261.36 12087633.24 0.0001282142 16.04 476439019125271164878848.00
GM3 1.00 130 2 370699.99 12.21 -10.98 54.73 0.38 0.33 57.14 25772.57 5935550.80 0.0000019616 7.27 2354938082357533088940032.00
GM3 1.00 131 4 821575.11 9.01 -10.19 52.24 0.69 0.50 53.99 14253.62 11104897.74 0.0000751108 10.64 569884030012291756851200.00
