model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 63 2 424168.26 -4.43 1.05 15.91 0.47 0.47 16.55 13287.03 27872206.64 0.0001175619 8.76 275502083920969362046976.00
GM2noBHs 1.00 64 2 424168.26 -5.75 -0.51 15.32 0.49 0.49 16.37 14904.22 20577412.79 0.0000268393 1.84 412402618148625133338624.00
GM2noBHs 1.00 65 3 636252.38 -1.26 0.69 16.08 0.84 0.66 16.14 15132.19 21998965.71 0.0000332280 10.21 405278635826483810009088.00
GM2noBHs 1.00 66 2 424168.26 5.97 -5.45 13.98 0.46 0.46 16.14 27246.12 18777893.14 0.0000018196 3.43 1200303546712079460204544.00
GM2noBHs 1.00 67 2 424168.26 5.63 -10.00 12.13 0.49 0.49 16.70 42176.66 14520692.12 0.0000001720 8.13 2949301635819005936664576.00
GM2noBHs 1.00 68 3 636266.61 11.72 -7.07 6.99 0.75 0.53 15.37 14577.79 26371269.75 0.0000785472 10.25 339918248946622691016704.00
GM2noBHs 1.00 69 3 636252.38 11.30 -7.93 8.04 0.84 0.62 15.98 17780.92 20610657.45 0.0000130379 11.72 552962548054231953178624.00
GM2noBHs 1.00 70 2 424168.26 7.00 -4.07 13.29 0.25 0.25 15.56 20940.25 20029846.43 0.0000059437 5.25 737961481737080242438144.00
GM2noBHs 1.00 71 10 1866626.37 2.99 10.37 -11.23 2.15 1.29 15.57 14271.85 21753409.40 0.0000451080 17.66 369227726893521687281664.00
GM2noBHs 1.00 72 4 743150.86 6.92 5.23 -14.02 0.89 0.60 16.48 27369.69 19868210.36 0.0000022138 18.21 1153312488905501061414912.00
GM2noBHs 1.00 73 3 620631.84 4.91 9.40 -11.07 0.54 0.46 15.34 14314.40 24517233.42 0.0000655458 14.87 342462176573849360924672.00
GM2noBHs 1.00 74 2 373715.55 3.46 6.79 -14.03 0.56 0.48 15.96 21518.60 12318817.54 0.0000016556 11.71 1071515283105196550389760.00
GM2noBHs 1.00 75 2 329280.92 -3.10 13.97 -6.43 0.65 0.47 15.69 26961.67 13637161.12 0.0000011967 16.53 1470857951717205483716608.00
GM2noBHs 1.00 76 3 536408.95 -2.60 15.66 -3.69 0.56 0.49 16.30 25157.32 15773222.54 0.0000017358 9.97 1172044213231507413663744.00
GM2noBHs 1.00 77 2 441015.19 3.69 8.91 -13.16 0.52 0.50 16.31 16456.52 16346614.04 0.0000095988 8.05 567583497104937954836480.00
GM2noBHs 1.00 78 2 424168.26 0.69 5.87 -13.93 0.46 0.46 15.13 21480.77 22358969.03 0.0000077183 7.89 715903060331686480838656.00
GM2noBHs 1.00 79 2 424168.26 -1.20 7.66 -13.17 0.38 0.38 15.29 25407.05 20481434.41 0.0000030010 12.78 1008068530213791803113472.00
GM2noBHs 1.00 80 2 432576.97 -3.36 6.13 -13.77 0.27 0.27 15.44 15398.54 31936594.73 0.0001031076 4.80 322157423486356970012672.00
GM2noBHs 1.00 81 2 424168.26 -2.92 8.82 -12.47 0.44 0.44 15.54 17192.33 22002731.94 0.0000179223 3.95 499282507920709536186368.00
GM2noBHs 1.00 82 2 437374.48 -4.24 12.69 -9.76 0.43 0.42 16.56 19178.03 15345212.97 0.0000045018 13.54 760311302777073808965632.00
